elo_rank,name,player_url,age,elo_rating,hard_elo_rank,hard_elo,clay_elo_rank,clay_elo,grass_elo_rank,grass_elo,peak_elo,peak_month,atp_rank,log_diff,fetch_time,wta_rank,tour
11,Casper Ruud,https://www.tennisabstract.com/cgi-bin/player.cgi?p=CasperRuud,26.8,1951.1,15,1882.7,6,1947.6,41,1698.8,2071.9,2022-05,12.0,-0.09,2025-11-10T15:01:34.243880,,
12,Alexander Bublik,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexanderBublik,28.3,1947.8,19,1852.6,11,1897.9,8,1842.9,1976.5,2025-10,11.0,0.09,2025-11-10T15:01:34.244071,,
13,Learner Tien,https://www.tennisabstract.com/cgi-bin/player.cgi?p=LearnerTien,19.9,1943.0,11,1907.6,116,1623.8,34,1713.8,1943.0,2025-11,28.0,-0.77,2025-11-10T15:01:34.244337,,
14,Jiri Lehecka,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JiriLehecka,23.9,1937.6,13,1887.7,26,1805.6,11,1801.3,1989.9,2025-10,17.0,-0.19,2025-11-10T15:01:34.244543,,
15,Jack Draper,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JackDraper,23.6,1932.4,12,1890.1,22,1816.6,19,1753.5,2103.8,2025-04,10.0,0.41,2025-11-10T15:01:34.244746,,
16,Joao Fonseca,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JoaoFonseca,19.1,1931.9,10,1910.2,24,1810.3,38,1707.2,1992.5,2025-03,24.0,-0.41,2025-11-10T15:01:34.244953,,
17,Alejandro Davidovich Fokina,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlejandroDavidovichFokina,26.3,1919.9,18,1873.1,19,1829.2,22,1737.7,1934.8,2025-07,14.0,0.19,2025-11-10T15:01:34.245148,,
18,Holger Rune,https://www.tennisabstract.com/cgi-bin/player.cgi?p=HolgerRune,22.4,1906.9,17,1874.5,12,1878.7,18,1763.4,2082.0,2023-05,15.0,0.18,2025-11-10T15:01:34.245333,,
19,Karen Khachanov,https://www.tennisabstract.com/cgi-bin/player.cgi?p=KarenKhachanov,29.4,1893.9,22,1835.9,17,1842.9,15,1775.1,2029.5,2018-10,18.0,0.05,2025-11-10T15:01:34.245516,,
20,Francisco Cerundolo,https://www.tennisabstract.com/cgi-bin/player.cgi?p=FranciscoCerundolo,27.2,1882.0,20,1840.9,15,1849.3,60,1663.2,1961.6,2025-04,21.0,-0.05,2025-11-10T15:01:34.245707,,
21,Ugo Humbert,https://www.tennisabstract.com/cgi-bin/player.cgi?p=UgoHumbert,27.3,1880.6,16,1875.7,41,1738.1,30,1726.4,2017.7,2024-03,37.0,-0.57,2025-11-10T15:01:34.245895,,
22,Sebastian Korda,https://www.tennisabstract.com/cgi-bin/player.cgi?p=SebastianKorda,25.3,1876.9,23,1832.6,32,1761.5,16,1770.6,2020.7,2023-01,48.0,-0.78,2025-11-10T15:01:34.246077,,
23,Andrey Rublev,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AndreyRublev,28.0,1875.2,24,1831.3,16,1845.8,13,1787.1,2122.1,2021-04,16.0,0.36,2025-11-10T15:01:34.246268,,
24,Arthur Fils,https://www.tennisabstract.com/cgi-bin/player.cgi?p=ArthurFils,21.1,1872.6,31,1795.5,18,1842.4,31,1722.4,1985.3,2025-04,40.0,-0.51,2025-11-10T15:01:34.246458,,
25,Stefanos Tsitsipas,https://www.tennisabstract.com/cgi-bin/player.cgi?p=StefanosTsitsipas,27.0,1866.7,28,1818.2,7,1904.8,37,1707.4,2145.1,2021-05,34.0,-0.31,2025-11-10T15:01:34.246644,,
26,Tommy Paul,https://www.tennisabstract.com/cgi-bin/player.cgi?p=TommyPaul,28.2,1861.8,33,1794.0,23,1813.9,26,1728.3,2028.8,2025-05,20.0,0.26,2025-11-10T15:01:34.246823,,
27,Grigor Dimitrov,https://www.tennisabstract.com/cgi-bin/player.cgi?p=GrigorDimitrov,34.4,1859.4,27,1821.7,34,1757.5,39,1703.9,2111.5,2014-08,44.0,-0.49,2025-11-10T15:01:34.247016,,
28,Corentin Moutet,https://www.tennisabstract.com/cgi-bin/player.cgi?p=CorentinMoutet,26.5,1857.0,35,1788.8,31,1771.5,21,1744.8,1881.9,2025-10,35.0,-0.22,2025-11-10T15:01:34.247202,,
29,Cameron Norrie,https://www.tennisabstract.com/cgi-bin/player.cgi?p=CameronNorrie,30.1,1855.9,32,1794.4,20,1828.7,20,1748.7,2028.6,2022-08,27.0,0.07,2025-11-10T15:01:34.247380,,
30,Valentin Vacherot,https://www.tennisabstract.com/cgi-bin/player.cgi?p=ValentinVacherot,26.9,1855.4,21,1837.8,56,1717.0,111,1581.7,1867.2,2025-10,31.0,-0.03,2025-11-10T15:01:34.247558,,
31,Jakub Mensik,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JakubMensik,20.1,1853.5,25,1826.9,35,1757.2,46,1688.1,1968.7,2025-04,19.0,0.49,2025-11-10T15:01:34.247747,,
32,Gael Monfils,https://www.tennisabstract.com/cgi-bin/player.cgi?p=GaelMonfils,39.0,1848.2,26,1823.1,61,1713.0,54,1674.2,2087.1,2016-10,69.0,-0.77,2025-11-10T15:01:34.247937,,
33,Tallon Griekspoor,https://www.tennisabstract.com/cgi-bin/player.cgi?p=TallonGriekspoor,29.3,1843.8,36,1785.4,28,1783.6,14,1779.0,1951.8,2025-06,25.0,0.28,2025-11-10T15:01:34.248127,,
34,Arthur Rinderknech,https://www.tennisabstract.com/cgi-bin/player.cgi?p=ArthurRinderknech,30.2,1840.8,34,1790.9,38,1740.6,40,1700.7,1871.8,2025-10,29.0,0.16,2025-11-10T15:01:34.248314,,
35,Flavio Cobolli,https://www.tennisabstract.com/cgi-bin/player.cgi?p=FlavioCobolli,23.4,1831.3,47,1748.9,25,1807.4,28,1727.8,1895.6,2025-07,22.0,0.46,2025-11-10T15:01:34.248498,,
36,Gabriel Diallo,https://www.tennisabstract.com/cgi-bin/player.cgi?p=GabrielDiallo,24.0,1826.0,46,1750.5,40,1739.0,32,1718.2,1889.2,2025-06,41.0,-0.13,2025-11-10T15:01:34.248686,,
37,Matteo Berrettini,https://www.tennisabstract.com/cgi-bin/player.cgi?p=MatteoBerrettini,29.5,1825.8,39,1768.1,21,1817.4,23,1736.2,2065.7,2022-07,56.0,-0.41,2025-11-10T15:01:34.248869,,
38,Denis Shapovalov,https://www.tennisabstract.com/cgi-bin/player.cgi?p=DenisShapovalov,26.5,1823.5,29,1807.7,51,1727.0,62,1657.2,1983.2,2020-01,23.0,0.5,2025-11-10T15:01:34.249053,,
39,Hubert Hurkacz,https://www.tennisabstract.com/cgi-bin/player.cgi?p=HubertHurkacz,28.3,1820.8,44,1752.9,36,1756.1,29,1727.3,2022.5,2024-06,75.0,-0.65,2025-11-10T15:01:34.249239,,
40,Frances Tiafoe,https://www.tennisabstract.com/cgi-bin/player.cgi?p=FrancesTiafoe,27.6,1817.9,37,1774.5,29,1774.0,36,1709.8,1974.0,2023-06,30.0,0.29,2025-11-10T15:01:34.249432,,
41,Tomas Machac,https://www.tennisabstract.com/cgi-bin/player.cgi?p=TomasMachac,25.0,1817.7,30,1797.0,55,1718.8,50,1681.7,1972.7,2025-04,32.0,0.25,2025-11-10T15:01:34.249610,,
42,Jenson Brooksby,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JensonBrooksby,25.0,1817.6,42,1762.2,43,1735.0,33,1716.2,2005.3,2022-03,53.0,-0.23,2025-11-10T15:01:34.249800,,
43,Jaume Munar,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JaumeMunar,28.4,1816.6,38,1769.0,42,1736.3,70,1643.1,1830.4,2025-10,36.0,0.18,2025-11-10T15:01:34.249978,,
44,Brandon Nakashima,https://www.tennisabstract.com/cgi-bin/player.cgi?p=BrandonNakashima,24.2,1811.9,41,1763.3,54,1719.5,27,1728.3,1909.5,2024-09,33.0,0.29,2025-11-10T15:01:34.250157,,
45,Zizou Bergs,https://www.tennisabstract.com/cgi-bin/player.cgi?p=ZizouBergs,26.4,1800.1,40,1768.0,78,1690.8,59,1663.4,1859.2,2025-03,43.0,0.05,2025-11-10T15:01:34.250347,,
46,Alexei Popyrin,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexeiPopyrin,26.2,1799.9,49,1747.6,30,1774.0,69,1644.1,1902.2,2024-10,54.0,-0.16,2025-11-10T15:01:34.250524,,
47,Fabian Marozsan,https://www.tennisabstract.com/cgi-bin/player.cgi?p=FabianMarozsan,26.0,1798.6,48,1747.9,39,1739.3,94,1600.5,1867.2,2024-04,51.0,-0.08,2025-11-10T15:01:34.250716,,
48,Marton Fucsovics,https://www.tennisabstract.com/cgi-bin/player.cgi?p=MartonFucsovics,33.6,1798.1,50,1746.5,48,1728.8,24,1730.8,1924.2,2021-03,55.0,-0.14,2025-11-10T15:01:34.250894,,
49,Arthur Cazaux,https://www.tennisabstract.com/cgi-bin/player.cgi?p=ArthurCazaux,23.1,1795.3,56,1737.2,68,1704.0,61,1659.9,1811.9,2025-10,68.0,-0.33,2025-11-10T15:01:34.251083,,
50,Marin Cilic,https://www.tennisabstract.com/cgi-bin/player.cgi?p=MarinCilic,37.0,1793.2,52,1743.7,62,1712.5,17,1767.4,2100.4,2010-02,76.0,-0.42,2025-11-10T15:01:34.251261,,
51,Roberto Bautista Agut,https://www.tennisabstract.com/cgi-bin/player.cgi?p=RobertoBautistaAgut,37.3,1790.9,64,1724.8,46,1730.8,25,1729.5,2033.8,2016-02,91.0,-0.58,2025-11-10T15:01:34.251486,,
52,Yannick Hanfmann,https://www.tennisabstract.com/cgi-bin/player.cgi?p=YannickHanfmann,33.9,1786.5,57,1734.3,45,1731.0,66,1645.5,1843.4,2023-06,103.0,-0.68,2025-11-10T15:01:34.251829,,
53,Lorenzo Sonego,https://www.tennisabstract.com/cgi-bin/player.cgi?p=LorenzoSonego,30.4,1784.5,54,1740.9,74,1694.3,48,1683.2,1895.3,2021-05,39.0,0.31,2025-11-10T15:01:34.252245,,
54,Raphael Collignon,https://www.tennisabstract.com/cgi-bin/player.cgi?p=RaphaelCollignon,23.7,1782.6,43,1758.2,81,1684.1,103,1588.8,1806.3,2025-10,74.0,-0.32,2025-11-10T15:01:34.252474,,
55,Jordan Thompson,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JordanThompson,31.5,1781.9,53,1742.8,130,1609.3,35,1713.4,1891.2,2024-12,108.0,-0.67,2025-11-10T15:01:34.252667,,
56,Alejandro Tabilo,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlejandroTabilo,28.4,1781.6,61,1730.4,47,1730.3,45,1689.2,1895.7,2024-07,81.0,-0.37,2025-11-10T15:01:34.252910,,
57,Kamil Majchrzak,https://www.tennisabstract.com/cgi-bin/player.cgi?p=KamilMajchrzak,29.8,1780.7,55,1738.9,53,1725.6,53,1676.0,1813.1,2025-10,66.0,-0.15,2025-11-10T15:01:34.253097,,
58,Yibing Wu,https://www.tennisabstract.com/cgi-bin/player.cgi?p=YibingWu,25.9,1780.1,45,1752.3,107,1634.9,115,1576.6,1882.9,2023-03,181.0,-1.14,2025-11-10T15:01:34.253279,,
59,Kei Nishikori,https://www.tennisabstract.com/cgi-bin/player.cgi?p=KeiNishikori,35.5,1772.5,58,1733.8,99,1650.2,79,1620.4,2194.2,2016-08,159.0,-0.99,2025-11-10T15:01:34.253467,,
60,Nuno Borges,https://www.tennisabstract.com/cgi-bin/player.cgi?p=NunoBorges,28.7,1771.5,51,1744.6,57,1716.3,80,1620.1,1843.6,2025-03,47.0,0.24,2025-11-10T15:01:34.253646,,
61,Reilly Opelka,https://www.tennisabstract.com/cgi-bin/player.cgi?p=ReillyOpelka,28.1,1768.5,59,1732.4,77,1691.3,68,1644.3,1927.5,2022-04,50.0,0.2,2025-11-10T15:01:34.253826,,
62,Tomas Martin Etcheverry,https://www.tennisabstract.com/cgi-bin/player.cgi?p=TomasMartinEtcheverry,26.2,1768.0,63,1729.2,58,1714.7,126,1563.4,1871.7,2023-05,60.0,0.03,2025-11-10T15:01:34.254005,,
63,Eliot Spizzirri,https://www.tennisabstract.com/cgi-bin/player.cgi?p=EliotSpizzirri,23.8,1766.9,62,1730.4,153,1574.4,84,1615.4,1785.6,2025-11,87.0,-0.32,2025-11-10T15:01:34.254198,,
64,Matteo Arnaldi,https://www.tennisabstract.com/cgi-bin/player.cgi?p=MatteoArnaldi,24.6,1764.8,66,1718.1,33,1760.0,106,1583.7,1902.9,2024-06,63.0,0.02,2025-11-10T15:01:34.254378,,
65,Benjamin Bonzi,https://www.tennisabstract.com/cgi-bin/player.cgi?p=BenjaminBonzi,29.3,1763.9,60,1731.6,120,1619.7,63,1651.1,1835.8,2022-06,94.0,-0.37,2025-11-10T15:01:34.254556,,
66,Alex Michelsen,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexMichelsen,21.1,1762.4,68,1716.0,110,1631.0,52,1678.8,1904.8,2025-01,38.0,0.55,2025-11-10T15:01:34.254732,,
67,Giovanni Mpetshi Perricard,https://www.tennisabstract.com/cgi-bin/player.cgi?p=GiovanniMpetshiPerricard,22.3,1762.4,69,1714.1,80,1686.7,57,1663.5,1862.8,2024-12,59.0,0.13,2025-11-10T15:01:34.254909,,
68,Daniel Altmaier,https://www.tennisabstract.com/cgi-bin/player.cgi?p=DanielAltmaier,27.1,1762.1,74,1701.5,50,1727.2,118,1573.7,1789.1,2021-08,46.0,0.39,2025-11-10T15:01:34.255089,,
69,Marcos Giron,https://www.tennisabstract.com/cgi-bin/player.cgi?p=MarcosGiron,32.2,1762.0,70,1714.0,98,1652.7,42,1697.9,1874.1,2025-03,67.0,0.03,2025-11-10T15:01:34.255267,,
70,Luciano Darderi,https://www.tennisabstract.com/cgi-bin/player.cgi?p=LucianoDarderi,23.7,1760.9,139,1592.9,27,1795.9,112,1581.6,1857.0,2024-06,26.0,0.99,2025-11-10T15:01:34.255445,,
71,Jan Lennard Struff,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JanLennardStruff,35.5,1750.9,87,1682.5,65,1711.9,64,1648.8,1935.1,2024-07,100.0,-0.34,2025-11-10T15:01:34.255623,,
72,Leandro Riedi,https://www.tennisabstract.com/cgi-bin/player.cgi?p=LeandroRiedi,23.5,1746.8,71,1712.0,136,1595.9,55,1671.2,1823.3,2023-01,178.0,-0.91,2025-11-10T15:01:34.255802,,
73,Miomir Kecmanovic,https://www.tennisabstract.com/cgi-bin/player.cgi?p=MiomirKecmanovic,26.1,1746.4,78,1699.4,75,1694.3,74,1634.9,1900.6,2022-04,52.0,0.34,2025-11-10T15:01:34.255980,,
74,Jacob Fearnley,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JacobFearnley,24.3,1745.8,79,1698.5,63,1712.4,72,1641.9,1910.0,2024-10,71.0,0.04,2025-11-10T15:01:34.256157,,
75,Alexandre Muller,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexandreMuller,28.7,1744.6,90,1681.0,49,1728.1,134,1556.4,1801.7,2025-05,42.0,0.58,2025-11-10T15:01:34.256334,,
76,Dino Prizmic,https://www.tennisabstract.com/cgi-bin/player.cgi?p=DinoPrizmic,20.1,1744.5,88,1682.3,67,1709.6,123,1568.4,1783.6,2025-09,123.0,-0.48,2025-11-10T15:01:34.256511,,
77,Ethan Quinn,https://www.tennisabstract.com/cgi-bin/player.cgi?p=EthanQuinn,21.6,1742.3,80,1693.8,91,1667.6,81,1619.2,1803.9,2025-05,64.0,0.18,2025-11-10T15:01:34.256688,,
78,Valentin Royer,https://www.tennisabstract.com/cgi-bin/player.cgi?p=ValentinRoyer,24.4,1741.2,84,1684.9,89,1670.8,65,1646.4,1800.2,2025-10,58.0,0.3,2025-11-10T15:01:34.256886,,
79,Borna Coric,https://www.tennisabstract.com/cgi-bin/player.cgi?p=BornaCoric,28.7,1740.9,82,1686.4,52,1726.3,75,1633.5,2011.6,2019-01,115.0,-0.38,2025-11-10T15:01:34.257070,,
80,Pablo Carreno Busta,https://www.tennisabstract.com/cgi-bin/player.cgi?p=PabloCarrenoBusta,34.2,1738.7,65,1723.4,69,1704.0,124,1567.1,2005.1,2021-08,89.0,-0.11,2025-11-10T15:01:34.257247,,
81,Francisco Comesana,https://www.tennisabstract.com/cgi-bin/player.cgi?p=FranciscoComesana,25.0,1737.7,91,1679.8,71,1701.2,110,1581.8,1761.9,2025-08,61.0,0.28,2025-11-10T15:01:34.257428,,
82,Rafael Jodar,https://www.tennisabstract.com/cgi-bin/player.cgi?p=RafaelJodar,19.1,1737.3,72,1710.6,150,1579.3,121,1568.7,1737.3,2025-10,167.0,-0.71,2025-11-10T15:01:34.257605,,
83,Juncheng Shang,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JunchengShang,20.6,1733.9,81,1687.7,108,1634.2,67,1644.8,1895.7,2024-09,255.0,-1.12,2025-11-10T15:01:34.257784,,
84,Botic Van De Zandschulp,https://www.tennisabstract.com/cgi-bin/player.cgi?p=BoticVanDeZandschulp,30.0,1733.8,77,1700.8,82,1682.6,104,1587.8,1938.0,2022-09,78.0,0.07,2025-11-10T15:01:34.257963,,
85,Hamad Medjedovic,https://www.tennisabstract.com/cgi-bin/player.cgi?p=HamadMedjedovic,22.2,1732.9,83,1685.0,70,1703.0,96,1599.2,1844.2,2025-04,83.0,0.02,2025-11-10T15:01:34.258141,,
86,Yoshihito Nishioka,https://www.tennisabstract.com/cgi-bin/player.cgi?p=YoshihitoNishioka,30.1,1731.3,73,1705.9,105,1639.6,130,1561.2,1884.7,2023-01,112.0,-0.26,2025-11-10T15:01:34.258324,,
87,Roman Safiullin,https://www.tennisabstract.com/cgi-bin/player.cgi?p=RomanSafiullin,28.0,1731.1,67,1718.1,90,1669.1,92,1600.8,1911.3,2024-01,170.0,-0.67,2025-11-10T15:01:34.258510,,
88,David Goffin,https://www.tennisabstract.com/cgi-bin/player.cgi?p=DavidGoffin,34.8,1730.7,86,1683.7,73,1696.1,49,1682.1,2048.7,2017-04,118.0,-0.29,2025-11-10T15:01:34.258688,,
89,Michael Zheng,https://www.tennisabstract.com/cgi-bin/player.cgi?p=MichaelZheng,21.7,1729.7,76,1701.1,238,1474.9,141,1545.5,1777.3,2025-09,185.0,-0.73,2025-11-10T15:01:34.258867,,
90,Patrick Kypson,https://www.tennisabstract.com/cgi-bin/player.cgi?p=PatrickKypson,26.0,1725.1,75,1701.2,139,1592.9,160,1524.8,1725.1,2025-11,117.0,-0.26,2025-11-10T15:01:34.259047,,
91,Dominik Koepfer,https://www.tennisabstract.com/cgi-bin/player.cgi?p=DominikKoepfer,30.7,1719.9,95,1669.9,64,1712.3,85,1613.0,1822.7,2024-03,510.0,-1.72,2025-11-10T15:01:34.259237,,
92,Adrian Mannarino,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AdrianMannarino,37.3,1718.8,89,1681.9,188,1529.6,47,1683.3,1896.3,2018-01,70.0,0.27,2025-11-10T15:01:34.259418,,
93,Mariano Navone,https://www.tennisabstract.com/cgi-bin/player.cgi?p=MarianoNavone,24.6,1718.5,158,1567.8,44,1735.0,163,1524.1,1875.9,2024-04,72.0,0.26,2025-11-10T15:01:34.259595,,
94,Jesper De Jong,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JesperDeJong,25.4,1717.1,98,1657.0,66,1710.7,148,1539.5,1741.0,2025-10,77.0,0.2,2025-11-10T15:01:34.259783,,
95,Laslo Djere,https://www.tennisabstract.com/cgi-bin/player.cgi?p=LasloDjere,30.4,1712.5,122,1619.6,37,1740.8,114,1578.9,1854.6,2023-09,99.0,-0.04,2025-11-10T15:01:34.259969,,
96,Zachary Svajda,https://www.tennisabstract.com/cgi-bin/player.cgi?p=ZacharySvajda,22.7,1709.9,110,1635.6,201,1516.5,43,1697.1,1769.0,2023-10,143.0,-0.4,2025-11-10T15:01:34.260148,,
97,Ignacio Buse,https://www.tennisabstract.com/cgi-bin/player.cgi?p=IgnacioBuse,21.6,1709.1,154,1573.4,79,1688.7,156,1528.0,1834.0,2025-09,110.0,-0.13,2025-11-10T15:01:34.260326,,
98,Stan Wawrinka,https://www.tennisabstract.com/cgi-bin/player.cgi?p=StanWawrinka,40.6,1708.3,85,1683.8,100,1649.0,89,1605.0,2145.5,2016-01,157.0,-0.47,2025-11-10T15:01:34.260504,,
99,Nicolas Jarry,https://www.tennisabstract.com/cgi-bin/player.cgi?p=NicolasJarry,29.9,1706.7,109,1637.0,86,1679.4,56,1664.4,1903.0,2023-10,122.0,-0.21,2025-11-10T15:01:34.260683,,
100,Camilo Ugo Carabelli,https://www.tennisabstract.com/cgi-bin/player.cgi?p=CamiloUgoCarabelli,26.3,1704.5,133,1603.6,60,1714.4,227,1468.9,1771.9,2025-05,49.0,0.71,2025-11-10T15:01:34.260864,,
101,Alexander Blockx,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexanderBlockx,20.5,1704.0,93,1674.0,145,1588.4,98,1597.0,1743.2,2025-01,101.0,0.0,2025-11-10T15:01:34.261127,,
102,Otto Virtanen,https://www.tennisabstract.com/cgi-bin/player.cgi?p=OttoVirtanen,24.3,1704.0,99,1655.4,185,1531.5,44,1689.5,1768.8,2024-03,126.0,-0.21,2025-11-10T15:01:34.261354,,
103,Pablo Llamas Ruiz,https://www.tennisabstract.com/cgi-bin/player.cgi?p=PabloLlamasRuiz,22.9,1700.0,148,1586.4,87,1678.8,145,1541.2,1733.1,2023-08,211.0,-0.72,2025-11-10T15:01:34.261541,,
104,Cristian Garin,https://www.tennisabstract.com/cgi-bin/player.cgi?p=CristianGarin,29.4,1699.4,117,1623.7,76,1691.4,76,1633.5,1889.6,2019-04,105.0,-0.01,2025-11-10T15:01:34.261734,,
105,Zhizhen Zhang,https://www.tennisabstract.com/cgi-bin/player.cgi?p=ZhizhenZhang,28.9,1699.2,115,1625.3,59,1714.4,93,1600.6,1830.9,2024-09,408.0,-1.36,2025-11-10T15:01:34.261921,,
106,Hugo Gaston,https://www.tennisabstract.com/cgi-bin/player.cgi?p=HugoGaston,25.1,1698.0,92,1676.9,106,1636.1,119,1573.2,1795.1,2021-11,96.0,0.1,2025-11-10T15:01:34.262103,,
107,Mackenzie Mcdonald,https://www.tennisabstract.com/cgi-bin/player.cgi?p=MackenzieMcdonald,30.5,1697.7,96,1663.4,177,1545.1,88,1605.3,1847.6,2023-03,113.0,-0.05,2025-11-10T15:01:34.262286,,
108,Damir Dzumhur,https://www.tennisabstract.com/cgi-bin/player.cgi?p=DamirDzumhur,33.4,1693.5,108,1639.1,85,1679.5,131,1560.1,1895.8,2017-09,57.0,0.64,2025-11-10T15:01:34.262465,,
109,Terence Atmane,https://www.tennisabstract.com/cgi-bin/player.cgi?p=TerenceAtmane,23.8,1692.7,97,1662.6,131,1608.4,150,1536.3,1760.2,2025-09,65.0,0.52,2025-11-10T15:01:34.262643,,
110,Aleksandar Vukic,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AleksandarVukic,29.5,1691.9,101,1651.5,152,1574.5,91,1603.8,1773.3,2025-01,82.0,0.29,2025-11-10T15:01:34.262830,,
111,Lloyd Harris,https://www.tennisabstract.com/cgi-bin/player.cgi?p=LloydHarris,28.6,1691.5,107,1644.0,151,1579.1,71,1642.7,1896.0,2021-10,222.0,-0.69,2025-11-10T15:01:34.263012,,
112,Arthur Fery,https://www.tennisabstract.com/cgi-bin/player.cgi?p=ArthurFery,23.2,1691.0,100,1652.6,258,1455.5,187,1504.0,1715.7,2025-10,204.0,-0.6,2025-11-10T15:01:34.263192,,
113,Nikoloz Basilashvili,https://www.tennisabstract.com/cgi-bin/player.cgi?p=NikolozBasilashvili,33.6,1688.7,102,1650.4,122,1618.3,77,1632.0,1889.8,2019-01,109.0,0.04,2025-11-10T15:01:34.263372,,
114,Jason Kubler,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JasonKubler,32.4,1684.5,112,1632.3,127,1613.2,51,1679.3,1790.0,2022-07,190.0,-0.51,2025-11-10T15:01:34.263549,,
115,Juan Manuel Cerundolo,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JuanManuelCerundolo,23.9,1681.9,143,1591.5,84,1679.6,245,1458.3,1774.8,2021-10,84.0,0.31,2025-11-10T15:01:34.263728,,
116,Sebastian Ofner,https://www.tennisabstract.com/cgi-bin/player.cgi?p=SebastianOfner,29.4,1680.4,144,1591.0,88,1678.7,82,1618.8,1812.7,2024-01,135.0,-0.15,2025-11-10T15:01:34.263905,,
117,Christopher Oconnell,https://www.tennisabstract.com/cgi-bin/player.cgi?p=ChristopherOconnell,31.3,1679.6,94,1673.4,126,1614.4,143,1543.9,1814.1,2025-03,116.0,0.01,2025-11-10T15:01:34.264085,,
118,Emilio Nava,https://www.tennisabstract.com/cgi-bin/player.cgi?p=EmilioNava,23.8,1677.6,125,1614.6,115,1623.9,127,1562.5,1738.2,2025-09,88.0,0.29,2025-11-10T15:01:34.264262,,
119,Bu Yunchaokete,https://www.tennisabstract.com/cgi-bin/player.cgi?p=BuYunchaokete,23.7,1675.4,111,1633.6,132,1604.4,211,1479.9,1834.9,2024-09,121.0,-0.02,2025-11-10T15:01:34.264438,,
